Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
253,Bloquear a via com veículo.,72,2102417,99.8426673885066
231 X,Transitar com o veículo excedendo a CMT entre 601 e 1.000 kg,71,2102559,99.84941089313445
172,Abandonar na via objetos ou substâncias,71,2102559,99.84941089313445
236,Rebocar outro veículo com cabo flexível ou corda,69,2102697,99.85596443988545
208,"Avançar o sinal vermelho do semáforo, exc houver sinaliz perm livre conv à direita ,fisc eletrônica",69,2102697,99.85596443988545
201,"Deixar de guardar a distância lateral de 1,50m ao passar/ultrapassar bicicleta",68,2102765,99.85919372379175
189,Deixar de dar passagem a veíc de operação e fiscalização de trânsito devid ident,65,2102830,99.86228053929041
189,Deixar de dar passagem a veíc socorro incêndio/salv serv urgência devid identif,64,2102894,99.86531986531986
244 V,Conduzir motoc/moton/ciclom transp criança s/ condição cuidar própria segurança,62,2102956,99.86826421241089
244 I,"Conduzir motocicleta, motoneta ou ciclomotor sem vestuário de acordo com normas apr pelo Contran",61,2103078,99.87405792765455
196,"Deixar de indicar c/ antec, med gesto de braço/luz indicadora, manobra de parar",61,2103078,99.87405792765455
244 IX,Conduzir motoc/moton/ efetuando transp remun mercadoria desac c/ art 139-A CTB,59,2103137,99.87685980633795
244 IX,Conduzir motoc/moton/ efet transp remun desac normas ativid profic mototaxistas,56,2103305,99.88483803716525
203 IV,Ultrapassar pela contramão veículo parado em fila junto sinal luminoso,56,2103305,99.88483803716525
209 c/c 17,"Circular, o veículo de transporte de carga, com eixos indevidamente suspensos.",56,2103305,99.88483803716525
181 V,Estacionar na pista de rolamento das vias dotadas de acostamento,55,2103360,99.88744995797182
239,"Retirar do local veículo legalmente retido para regularização, sem permissão",54,2103414,99.89001438930917
"181, XX",Estacionar nas vagas reserv as pess c/ deficiencia s/ credencial,52,2103466,99.8924838417081
220 III,Deixar de reduzir a velocidade do veículo ao aproximar-se do acostamento,51,2103517,99.89490580463783
182 VI,Parar nas marcas de canalização,50,2103617,99.89965475155884
182 VI,Parar nos canteiros centrais/divisores de pista de rolamento,50,2103617,99.89965475155884
181 IV,Estacionar em desacordo com as posições estabelecidas no CTB,49,2103715,99.90430871954145
215 I a,"Deixar de dar preferência em interseção ñ sinaliz, veíc circulando por rotatória",49,2103715,99.90430871954145
179 I,"Fazer ou deixar que se faça reparo em veíc, em rodovia e via de trânsito rápido",48,2103763,99.90658821406353
181 VIII,Estacionar nas ilhas ou refúgios,47,2103857,99.9110522241693
181 VIII,Estacionar sobre faixa destinada a pedestre,47,2103857,99.9110522241693
184 I,Transitar na faixa/pista da direita regul circulação exclusiva determ veículo,46,2104041,99.91979028650397
209,Deixar de adentrar às áreas destinadas à pesagem de veículos,46,2104041,99.91979028650397
182 VI,Parar sobre faixa destinada a pedestres,46,2104041,99.91979028650397
206 III,"Executar operação de retorno passando por cima de ilha, refúgio",46,2104041,99.91979028650397
181 V,Estacionar na pista de rolamento das vias de trânsito rápido,45,2104131,99.92406433873289
164 c/c 162 VI,Permitir posse/cond veíc s/ adaptações impostas concessão/renovação licença cond,45,2104131,99.92406433873289
231 II b,Transitar com veíc derramando/lançando combustível/lubrif que esteja utilizando,43,2104174,99.92610638590892
206 III,"Executar operação de retorno passando por cima de calçada, passeio",40,2104214,99.92800596467734
230 I,Conduzir o veículo com qualquer outro elem de identificação violado/falsificado,38,2104252,99.92981056450732
203 IV,Ultrapassar pela contramão veículo parado em fila junto a cruzamento,37,2104289,99.93156767486809
176 II,"Deixar o cond envolvido em acid, de adotar provid p/ evitar perigo p/o trânsito",36,2104433,99.93840615843436
224,Fazer uso do facho de luz alta dos faróis em vias providas de iluminação pública,36,2104433,99.93840615843436
173,Disputar corrida,36,2104433,99.93840615843436
174,Promover na via exibição e demonstração de perícia em manobra de veículo s/perm,36,2104433,99.93840615843436
