City,Violations_Count,Violations_Count(%),Acum
DOIS IRMAOS,2847,0.06884256235547474,0.8045570052445598
ELDORADO,2838,0.06862493570946165,0.8052432546016544
PONTA PORA,2838,0.06862493570946165,0.805929503958749
OSORIO,2799,0.0676818869100716,0.8066063228278497
ITAPECURU MIRIM,2792,0.0675126217409503,0.8072814490452592
PATROCINIO,2787,0.0673917180487208,0.8079553662257465
TAUBATE,2772,0.06702900697203232,0.8086256562954668
LORENA,2767,0.06690810327980282,0.8092947373282648
TEOTONIO VILELA,2763,0.06681138032601922,0.809962851131525
BARBACENA,2720,0.06577160857284556,0.8106205672172535
RUSSAS,2717,0.06569906635750787,0.8112775578808286
IJUI,2702,0.06533635528081938,0.8119309214336368
SERRINHA,2698,0.06523963232703578,0.8125833177569072
NOVO HAMBURGO,2698,0.06523963232703578,0.8132357140801776
ABADIA DE GOIAS,2697,0.06521545158858988,0.8138878685960634
ITAOBIM,2690,0.06504618641946859,0.8145383304602581
FRUTAL,2677,0.0647318368196719,0.8151856488284549
OURO PRETO,2674,0.0646592946043342,0.8158322417744982
SAO FERNANDO,2663,0.06439330648142931,0.8164761748393125
INDAIAL,2663,0.06439330648142931,0.8171201079041267
CRUZ ALTA,2642,0.06388551097406543,0.8177589630138673
MANDIRITUBA,2636,0.06374042654339004,0.8183963672793012
JARU,2626,0.06349861915893104,0.8190313534708905
TIBAGI,2623,0.06342607694359334,0.8196656142403265
PILAR,2618,0.06330517325136385,0.8202986659728401
NIOAQUE,2602,0.06291828143622946,0.8209278487872024
SANTO ESTEVAO,2571,0.0621686785444066,0.8215495355726464
SERTANIA,2569,0.0621203170675148,0.8221707387433216
UBIRATA,2556,0.06180596746771811,0.8227887984179988
SAO FRANCISCO DO PARA,2544,0.061515798606367314,0.8234039564040625
LAGOA FORMOSA,2541,0.06144325639102962,0.8240183889679727
AGRESTINA,2520,0.06093546088366574,0.8246277435768095
OLIVEIRA,2509,0.06066947276076086,0.8252344383044171
JAGUARIBE,2506,0.06059693054542315,0.8258404076098713
GARIBALDI,2492,0.06025840020718057,0.8264429916119431
MIRANDA,2490,0.060210038730288774,0.827045091999246
DOURADINA,2487,0.060137496514951067,0.8276464669643956
SAO CAITANO,2485,0.060089135038059266,0.8282473583147761
IBIPORA,2481,0.05999241208427568,0.8288472824356189
SANTO ANTONIO DA PLATINA,2479,0.05994405060738388,0.8294467229416927
LAVRINHAS,2462,0.059532978053803594,0.8300420527222307
ROSEIRA,2462,0.059532978053803594,0.8306373825027688
GUAIBA,2458,0.05943625510002,0.831231745053769
SAO MAMEDE,2437,0.058928459592656114,0.8318210296496955
CANOINHAS,2433,0.05883173663887252,0.8324093470160843
SANTANA DO LIVRAMENTO,2422,0.05856574851596763,0.832995004501244
